program_class,generation_time_sec,run,seed,evosuite_tests,randoop_tests,evosuite_to_randoop_jaccard,randoop_to_evosuite_jaccard,mean_max_jaccard,evosuite_to_randoop_dice,randoop_to_evosuite_dice,mean_max_dice
SimpleJsonParser,30,1,101,15,4,0.8142857142857144,0.5833333333333333,0.6988095238095238,0.871111111111111,0.625,0.7480555555555555
SimpleJsonParser,30,2,202,16,4,0.8258928571428572,0.5833333333333333,0.7046130952380952,0.8791666666666667,0.625,0.7520833333333333
SimpleJsonParser,30,3,303,14,4,0.8418367346938777,0.5833333333333333,0.7125850340136055,0.8904761904761903,0.625,0.7577380952380952
SimpleJsonParser,30,4,404,15,4,0.8523809523809525,0.5833333333333333,0.7178571428571429,0.8977777777777778,0.625,0.7613888888888889
SimpleJsonParser,30,5,505,14,4,0.8010204081632654,0.5833333333333333,0.6921768707482994,0.8619047619047617,0.625,0.7434523809523809
SimpleJsonParser,30,6,606,14,4,0.8418367346938777,0.5833333333333333,0.7125850340136055,0.8904761904761903,0.625,0.7577380952380952
SimpleJsonParser,30,7,707,14,4,0.7602040816326532,0.5833333333333333,0.6717687074829932,0.8333333333333331,0.625,0.7291666666666665
SimpleJsonParser,30,8,808,13,4,0.8296703296703297,0.5833333333333333,0.7065018315018314,0.8820512820512819,0.625,0.753525641025641
SimpleJsonParser,30,9,909,12,4,0.8630952380952381,0.5833333333333333,0.7232142857142857,0.9055555555555554,0.625,0.7652777777777777
SimpleJsonParser,30,10,10010,14,4,0.8010204081632654,0.5833333333333333,0.6921768707482994,0.8619047619047617,0.625,0.7434523809523809
SimpleJsonParser,60,1,101,16,4,0.8258928571428572,0.5833333333333333,0.7046130952380952,0.8791666666666667,0.625,0.7520833333333333
SimpleJsonParser,60,2,202,17,4,0.8361344537815126,0.5833333333333333,0.7097338935574229,0.8862745098039215,0.625,0.7556372549019608
SimpleJsonParser,60,3,303,16,4,0.8616071428571429,0.5833333333333333,0.7224702380952381,0.9041666666666667,0.625,0.7645833333333334
SimpleJsonParser,60,4,404,16,4,0.8616071428571429,0.5833333333333333,0.7224702380952381,0.9041666666666667,0.625,0.7645833333333334
SimpleJsonParser,60,5,505,16,4,0.7901785714285715,0.5833333333333333,0.6867559523809523,0.8541666666666667,0.625,0.7395833333333334
SimpleJsonParser,60,6,606,14,4,0.8418367346938777,0.5833333333333333,0.7125850340136055,0.8904761904761903,0.625,0.7577380952380952
SimpleJsonParser,60,7,707,14,4,0.7602040816326532,0.5833333333333333,0.6717687074829932,0.8333333333333333,0.625,0.7291666666666666
SimpleJsonParser,60,8,808,14,4,0.8418367346938777,0.5833333333333333,0.7125850340136055,0.8904761904761903,0.625,0.7577380952380952
SimpleJsonParser,60,9,909,14,4,0.8826530612244898,0.5833333333333333,0.7329931972789115,0.919047619047619,0.625,0.7720238095238094
SimpleJsonParser,60,10,10010,17,4,0.8361344537815126,0.5833333333333333,0.7097338935574229,0.8862745098039215,0.625,0.7556372549019608
SimpleJsonParser,120,1,101,16,4,0.8258928571428572,0.5833333333333333,0.7046130952380952,0.8791666666666667,0.625,0.7520833333333333
SimpleJsonParser,120,2,202,16,4,0.8616071428571429,0.5833333333333333,0.7224702380952381,0.9041666666666667,0.625,0.7645833333333334
SimpleJsonParser,120,3,303,17,4,0.8697478991596639,0.5833333333333333,0.7265406162464986,0.9098039215686274,0.625,0.7674019607843137
SimpleJsonParser,120,4,404,17,4,0.8361344537815126,0.5833333333333333,0.7097338935574229,0.8862745098039215,0.625,0.7556372549019608
SimpleJsonParser,120,5,505,17,4,0.8025210084033613,0.5833333333333333,0.6929271708683473,0.8627450980392157,0.625,0.7438725490196079
SimpleJsonParser,120,6,606,16,4,0.8616071428571429,0.5833333333333333,0.7224702380952381,0.9041666666666667,0.625,0.7645833333333334
SimpleJsonParser,120,7,707,15,4,0.8142857142857144,0.5833333333333333,0.6988095238095238,0.8711111111111111,0.625,0.7480555555555555
SimpleJsonParser,120,8,808,15,4,0.8523809523809525,0.5833333333333333,0.7178571428571429,0.8977777777777777,0.625,0.7613888888888889
SimpleJsonParser,120,9,909,16,4,0.8616071428571429,0.5833333333333333,0.7224702380952381,0.9041666666666667,0.625,0.7645833333333334
SimpleJsonParser,120,10,10010,17,4,0.8361344537815126,0.5833333333333333,0.7097338935574229,0.8862745098039215,0.625,0.7556372549019608
